instructions_2afc_loop.thisRepN,instructions_2afc_loop.thisTrialN,instructions_2afc_loop.thisN,instructions_2afc_loop.thisIndex,instructions_2afc_loop.ran,instructions_text,continue_text,participant,study_id,session,Tu variedad del español*,¿Hablas con fluidez otra lengua (sí/no)?*,date,expName,psychopyVersion,OS,frameRate,key_resp_2afc_practice.keys,key_resp_2afc_practice.corr,key_resp_2afc_practice.rt,trials_2afc_practice_loop.thisRepN,trials_2afc_practice_loop.thisTrialN,trials_2afc_practice_loop.thisN,trials_2afc_practice_loop.thisIndex,trials_2afc_practice_loop.ran,path,correct_response,the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,item_num,andalusian,argentine,castilian,chilean,cuban,mexican,peruvian,puertorican
0,0,0,0,1,"En la siguiente tarea vas a escuchar una serie de frases cortas. 

  Vas a decidir si suenan como preguntas o no usando el teclado.",(presiona la barra espaciadora para continuar),5f120bfe1a1a2c120f3dd9f3,602ab2f3ccc37d12d58ba79b,602b2bb7e527c32704fb0482,Mexicano,no,2021-02-15_20h42.08.420,empathy_intonation_perc_sp,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,"Si crees que el enunciado es una pregunta, teclea '1' (Sí) y si crees que 
  no es una pregunta teclea '0' (no).

  Vamos a practicar...",(presiona la barra espaciadora para continuar),5f120bfe1a1a2c120f3dd9f3,602ab2f3ccc37d12d58ba79b,602b2bb7e527c32704fb0482,Mexicano,no,2021-02-15_20h42.08.420,empathy_intonation_perc_sp,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f120bfe1a1a2c120f3dd9f3,602ab2f3ccc37d12d58ba79b,602b2bb7e527c32704fb0482,Mexicano,no,2021-02-15_20h42.08.420,empathy_intonation_perc_sp,2020.2.10,Win32,60,0,1,3.043155,0,0,0,6,1,./stim/wavs/peruvian_statement_filler_El-nino-habla-con-su-madre.wav,0,,,,,,,,,,,,,,,,,,
,,,,,,,5f120bfe1a1a2c120f3dd9f3,602ab2f3ccc37d12d58ba79b,602b2bb7e527c32704fb0482,Mexicano,no,2021-02-15_20h42.08.420,empathy_intonation_perc_sp,2020.2.10,Win32,60,0,1,1.65652,0,1,1,5,1,./stim/wavs/andalusian_statement_filler_Alberto-nunca-se-afeita.wav,0,,,,,,,,,,,,,,,,,,
,,,,,,,5f120bfe1a1a2c120f3dd9f3,602ab2f3ccc37d12d58ba79b,602b2bb7e527c32704fb0482,Mexicano,no,2021-02-15_20h42.08.420,empathy_intonation_perc_sp,2020.2.10,Win32,60,0,1,2.30691,0,2,2,7,1,./stim/wavs/puertorican_statement_filler_La-nina-pinta-con-su-amiga.wav,0,,,,,,,,,,,,,,,,,,
,,,,,,,5f120bfe1a1a2c120f3dd9f3,602ab2f3ccc37d12d58ba79b,602b2bb7e527c32704fb0482,Mexicano,no,2021-02-15_20h42.08.420,empathy_intonation_perc_sp,2020.2.10,Win32,60,0,1,1.65212,0,3,3,4,1,./stim/wavs/cuban_statement_filler_Cocinabas-por-la-noche.wav,0,,,,,,,,,,,,,,,,,,
,,,,,,,5f120bfe1a1a2c120f3dd9f3,602ab2f3ccc37d12d58ba79b,602b2bb7e527c32704fb0482,Mexicano,no,2021-02-15_20h42.08.420,empathy_intonation_perc_sp,2020.2.10,Win32,60,1,1,3.17058,0,4,4,0,1,./stim/wavs/castilian_question_filler_Mi-esposo-conoce-al-chico.wav,1,,,,,,,,,,,,,,,,,,
,,,,,,,5f120bfe1a1a2c120f3dd9f3,602ab2f3ccc37d12d58ba79b,602b2bb7e527c32704fb0482,Mexicano,no,2021-02-15_20h42.08.420,empathy_intonation_perc_sp,2020.2.10,Win32,60,1,1,1.391545,0,5,5,1,1,./stim/wavs/argentine_question_filler_Mi-vecino-habla-mucho.wav,1,,,,,,,,,,,,,,,,,,
,,,,,,,5f120bfe1a1a2c120f3dd9f3,602ab2f3ccc37d12d58ba79b,602b2bb7e527c32704fb0482,Mexicano,no,2021-02-15_20h42.08.420,empathy_intonation_perc_sp,2020.2.10,Win32,60,1,1,1.756805,0,6,6,3,1,./stim/wavs/mexican_question_filler_Felipe-no-tiene-contrasena.wav,1,,,,,,,,,,,,,,,,,,
,,,,,,,5f120bfe1a1a2c120f3dd9f3,602ab2f3ccc37d12d58ba79b,602b2bb7e527c32704fb0482,Mexicano,no,2021-02-15_20h42.08.420,empathy_intonation_perc_sp,2020.2.10,Win32,60,1,1,1.660655,0,7,7,2,1,./stim/wavs/chilean_question_filler_Mi-padre-cantaba-bien.wav,1,,,,,,,,,,,,,,,,,,
,,,,,,,5f120bfe1a1a2c120f3dd9f3,602ab2f3ccc37d12d58ba79b,602b2bb7e527c32704fb0482,Mexicano,no,2021-02-15_20h42.08.420,empathy_intonation_perc_sp,2020.2.10,Win32,60,,,,,,,,,,1,chilean,1,1,1.72562,0,0,0,28,1,29,./stim/wavs/andalusian_match_interrogative-total-yn_Manuela-vende-el-carro.wav,./stim/wavs/argentine_match_interrogative-total-yn_Manuela-vende-el-carro.wav,./stim/wavs/castilian_match_interrogative-total-yn_Manuela-vende-el-carro.wav,./stim/wavs/chilean_match_interrogative-total-yn_Manuela-vende-el-carro.wav,./stim/wavs/cuban_match_interrogative-total-yn_Manuela-vende-el-carro.wav,./stim/wavs/mexican_match_interrogative-total-yn_Manuela-vende-el-carro.wav,./stim/wavs/peruvian_match_interrogative-total-yn_Manuela-vende-el-carro.wav,./stim/wavs/puertorican_match_interrogative-total-yn_Manuela-vende-el-carro.wav
,,,,,,,5f120bfe1a1a2c120f3dd9f3,602ab2f3ccc37d12d58ba79b,602b2bb7e527c32704fb0482,Mexicano,no,2021-02-15_20h42.08.420,empathy_intonation_perc_sp,2020.2.10,Win32,60,,,,,,,,,,0,argentine,0,1,1.752535,0,1,1,9,1,10,./stim/wavs/andalusian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,./stim/wavs/argentine_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,./stim/wavs/castilian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,./stim/wavs/chilean_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,./stim/wavs/cuban_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,./stim/wavs/mexican_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,./stim/wavs/peruvian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,./stim/wavs/puertorican_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav
,,,,,,,5f120bfe1a1a2c120f3dd9f3,602ab2f3ccc37d12d58ba79b,602b2bb7e527c32704fb0482,Mexicano,no,2021-02-15_20h42.08.420,empathy_intonation_perc_sp,2020.2.10,Win32,60,,,,,,,,,,1,andalusian,1,1,2.70867,0,2,2,17,1,18,./stim/wavs/andalusian_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,./stim/wavs/argentine_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,./stim/wavs/castilian_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,./stim/wavs/chilean_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,./stim/wavs/cuban_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,./stim/wavs/mexican_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,./stim/wavs/peruvian_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,./stim/wavs/puertorican_match_interrogative-partial-wh_Cuando-leia-el-libro.wav
